,0
0,316.1
1,317.3
2,317.6
3,317.5
4,316.4
5,316.9
6,317.5
7,317.9
8,315.8
9,315.8
10,315.4
11,315.5
12,315.6
13,315.1
14,315.0
15,314.1
16,313.5
17,313.0
18,313.2
19,313.5
20,314.0
21,314.5
22,314.4
23,314.7
24,315.2
25,315.2
26,315.5
27,315.6
28,315.8
29,315.4
30,316.9
31,316.6
32,316.6
33,316.8
34,316.7
35,316.7
36,317.7
37,317.1
38,317.6
39,318.3
40,318.2
41,318.7
42,318.0
43,318.4
44,318.5
45,318.1
46,317.8
47,317.7
48,316.8
49,316.8
50,316.4
51,316.1
52,315.6
53,314.9
54,315.0
55,314.1
56,314.4
57,313.9
58,313.5
59,313.5
60,313.0
61,313.1
62,313.4
63,313.4
64,314.1
65,314.4
66,314.8
67,315.2
68,315.1
69,315.0
70,315.6
71,315.8
72,315.7
73,315.7
74,316.4
75,316.7
76,316.5
77,316.6
78,316.6
79,316.9
80,317.4
81,317.0
82,316.9
83,317.7
84,318.0
85,317.7
86,318.6
87,319.3
88,319.0
89,319.0
90,319.7
91,319.9
92,319.8
93,320.0
94,320.0
95,319.4
96,320.0
97,319.4
98,319.0
99,318.1
100,318.6
101,318.4
102,317.9
103,317.3
104,316.6
105,316.7
106,315.1
107,314.7
108,314.7
109,314.5
110,314.2
111,313.3
112,313.6
113,313.3
114,313.9
115,314.2
116,314.2
117,314.5
118,315.1
119,315.1
120,315.4
121,315.8
122,316.0
123,316.2
124,316.4
125,316.6
126,316.7
127,317.0
128,317.0
129,317.0
130,317.0
131,317.7
132,317.9
133,318.0
134,318.0
135,318.5
136,318.9
137,318.7
138,319.4
139,319.5
140,318.9
141,319.7
142,319.6
143,320.6
144,320.4
145,320.6
146,320.3
147,320.0
148,320.0
149,319.6
150,319.4
151,319.2
152,319.0
153,318.4
154,317.1
155,317.9
156,317.9
157,317.3
158,316.7
159,315.2
160,315.2
161,314.9
162,314.5
163,315.0
164,315.6
165,314.9
166,315.4
167,315.4
168,315.7
169,315.8
170,315.7
171,316.2
172,316.5
173,316.5
174,317.0
175,316.9
176,317.1
177,317.4
178,317.9
179,318.1
180,318.0
181,317.7
182,318.0
183,318.3
184,318.9
185,319.3
186,319.2
187,319.4
188,319.9
189,319.7
190,320.2
191,320.2
192,321.0
193,320.7
194,320.3
195,320.8
196,320.7
197,321.0
198,321.1
199,320.9
200,320.8
201,320.5
202,320.1
203,320.2
204,320.1
205,319.9
206,319.0
207,318.7
208,318.6
209,317.2
210,317.4
211,316.6
212,315.7
213,315.9
214,315.1
215,315.4
216,315.7
217,315.7
218,315.9
219,316.4
220,316.9
221,317.0
222,317.1
223,317.3
224,317.6
225,318.1
226,318.5
227,318.7
228,318.9
229,318.8
230,318.7
231,318.9
232,319.3
233,319.3
234,319.7
235,319.8
236,320.3
237,320.2
238,320.3
239,320.9
240,322.0
241,321.9
242,321.9
243,322.2
244,322.2
245,322.3
246,322.0
247,321.8
248,320.8
249,320.4
250,320.1
251,319.8
252,319.5
253,319.0
254,318.6
255,318.2
256,317.7
257,317.1
258,316.4
259,316.8
260,315.9
261,316.0
262,315.9
263,316.2
264,315.6
265,316.1
266,316.3
267,316.6
268,316.8
269,317.1
270,317.5
271,318.0
272,318.2
273,318.5
274,318.7
275,319.0
276,319.4
277,319.8
278,322.0
279,322.0
280,321.5
281,321.1
282,319.9
283,320.2
284,320.0
285,319.1
286,318.6
287,318.2
288,318.1
289,317.4
290,316.5
291,315.5
292,317.0
293,316.9
294,316.5
